stop_name,master_node_id,stop_id,stop_lat,stop_lon
Zhishan,Zhishan_0,R17,25.10281017,121.5225554
Mingde,Mingde_0,R18,25.10976884,121.51878590000001
Shipai,Shipai_0,R19,25.11442372,121.51560549999999
Qilian,Qilian_0,R20,25.12085795,121.50626480000001
Qiyan,Qiyan_0,R21,25.12558754,121.5011959
Beitou,Beitou_0,R22,25.13192518,121.49860829999999
Fuxinggang,Fuxinggang_0,R23,25.13755799,121.48536740000002
Zhongyi,Zhongyi_0,R24,25.1311249,121.4732425
Guandu,Guandu_0,R25,25.12565224,121.46708059999999
Zhuwei,Zhuwei_0,R26,25.13694903,121.45945649999999
Hongshulin,Hongshulin_0,R27,25.15411416,121.45895449999999
Tamsui,Tamsui_0,R28,25.16799328,121.44525829999999
