i,j,a
38,45,3443
39,45,1246
40,45,181
41,45,181
42,45,560
43,45,200
44,45,5234
45,45,373984
46,45,182
47,45,1426
48,45,4789
49,45,114
50,45,890
51,45,2140
1,46,66
2,46,68
5,46,745
6,46,914
7,46,608
9,46,445
10,46,2019
11,46,361
14,46,49
15,46,530
16,46,38
18,46,151
19,46,87
20,46,612
21,46,40
22,46,2246
24,46,177
26,46,88
27,46,53
30,46,2138
32,46,71
33,46,3882
34,46,212
36,46,68
38,46,176
39,46,446
40,46,621
41,46,91
43,46,38
44,46,349
45,46,122
46,46,60719
47,46,173
48,46,119
49,46,23
50,46,342
51,46,4
1,47,4935
2,47,1488
3,47,2233
4,47,1245
5,47,15753
6,47,6281
7,47,2555
8,47,1064
9,47,7975
10,47,16614
11,47,9438
12,47,2523
13,47,905
14,47,5233
15,47,1486
16,47,720
17,47,1986
18,47,5154
19,47,2055
20,47,570
21,47,22089
22,47,2984
23,47,2327
24,47,1034
25,47,1453
26,47,2684
27,47,278
28,47,615
29,47,1740
30,47,880
31,47,4458
32,47,425
33,47,10800
34,47,27302
35,47,166
36,47,5425
37,47,1013
38,47,1179
39,47,8419
40,47,485
41,47,7879
42,47,79
43,47,6098
44,47,13231
45,47,2413
46,47,740
47,47,889751
48,47,4233
49,47,5561
50,47,2573
51,47,451
1,48,2621
2,48,4548
3,48,13940
4,48,1477
5,48,36481
6,48,5524
7,48,2255
8,48,482
9,48,476
10,48,6339
11,48,3701
12,48,3790
13,48,8991
14,48,3075
15,48,1028
16,48,856
17,48,772
18,48,1121
19,48,1075
20,48,88
21,48,1525
22,48,1673
23,48,1430
24,48,1413
25,48,286
26,48,2518
27,48,3835
28,48,835
29,48,4680
30,48,428
31,48,2454
32,48,924
33,48,2986
34,48,3295
35,48,404
36,48,1979
37,48,1246
38,48,21862
39,48,3688
40,48,262
41,48,2510
42,48,557
43,48,2852
44,48,15325
45,48,4825
46,48,156
47,48,4615
48,48,919925
49,48,83
50,48,1555
51,48,1803
1,49,65
2,49,89
3,49,70
4,49,24
5,49,832
6,49,412
7,49,46
8,49,198
9,49,120
10,49,4964
11,49,1340
12,49,312
14,49,352
15,49,216
16,49,115
18,49,1174
19,49,110
20,49,43
21,49,2027
22,49,911
23,49,417
24,49,92
25,49,303
26,49,196
27,49,14
28,49,24
31,49,1252
33,49,631
34,49,2780
36,49,7548
37,49,44
38,49,66
39,49,4631
40,49,199
41,49,1680
43,49,1385
44,49,663
45,49,270
46,49,53
47,49,9041
48,49,157
49,49,172262
50,49,1090
1,50,417
2,50,23
3,50,6473
4,50,687
5,50,5668
6,50,3995
7,50,660
8,50,55
9,50,946
10,50,7412
11,50,2727
12,50,147
13,50,165
14,50,14507
15,50,2923
16,50,2537
17,50,893
18,50,581
19,50,339
20,50,321
21,50,353
22,50,441
23,50,4018
24,50,19255
25,50,1136
26,50,1503
27,50,146
28,50,560
29,50,2672
31,50,214
32,50,340
33,50,1878
34,50,2291
35,50,1398
36,50,2534
37,50,942
38,50,914
39,50,2426
40,50,2
41,50,341
42,50,481
43,50,1213
44,50,5982
45,50,158
46,50,137
47,50,858
48,50,1491
49,50,42
50,50,675623
51,50,168
1,51,9
2,51,246
3,51,2510
4,51,252
5,51,2047
6,51,2942
7,51,65
8,51,463
10,51,846
11,51,504
12,51,14
13,51,487
14,51,58
15,51,117
16,51,140
17,51,1285
18,51,57
19,51,357
20,51,21
21,51,80
23,51,841
24,51,224
26,51,1120
27,51,2413
28,51,965
29,51,933
30,51,162
31,51,15
32,51,283
33,51,688
34,51,153
35,51,139
36,51,1280
37,51,1763
38,51,914
39,51,195
40,51,23
41,51,632
42,51,1310
43,51,131
44,51,2500
45,51,1058
46,51,38
47,51,190
48,51,1507
50,51,14
51,51,66648
