,Among Holidays,Among Observances,Among Ot`herDays,nPCA,Among OtherDays
2,64.51612903225806,15.873015873015873,,2,17.711598746081506
3,70.96774193548387,20.634920634920636,,3,17.398119122257054
4,87.09677419354838,20.634920634920636,,4,16.614420062695924
5,93.54838709677419,22.22222222222222,,5,16.300940438871475
6,87.09677419354838,20.634920634920636,,6,16.614420062695924
7,93.54838709677419,20.634920634920636,,7,16.300940438871475
8,90.3225806451613,22.22222222222222,,8,16.4576802507837
9,90.3225806451613,22.22222222222222,,9,16.4576802507837
